Stkcd,Reptdt,TobinQ
300316,2015/12/31,5.317864
300024,2015/12/31,6.894379
300430,2015/12/31,2.392918
300245,2015/12/31,9.198887
300111,2015/12/31,2.975137
300457,2015/12/31,2.85699
300116,2015/12/31,2.637433
300360,2015/12/31,2.433783
300322,2015/12/31,6.061284
300073,2015/12/31,3.927099
300421,2015/12/31,2.322299
300408,2015/12/31,4.142621
300383,2015/12/31,8.954064
300244,2015/12/31,6.142758
300375,2015/12/31,1.925861
300068,2015/12/31,1.900137
300172,2015/12/31,3.138984
300087,2015/12/31,3.076122
300176,2015/12/31,2.245306
300403,2015/12/31,3.225009
300072,2015/12/31,2.616979
300216,2015/12/31,4.612716
300080,2015/12/31,1.320588
300428,2015/12/31,2.508571
300143,2015/12/31,2.117816
300458,2015/12/31,3.451925
300422,2015/12/31,2.254241
300225,2015/12/31,3.238224
300393,2015/12/31,1.951953
300398,2015/12/31,3.621635
300149,2015/12/31,8.495822
300120,2015/12/31,3.87746
300488,2015/12/31,2.555769
300104,2015/12/31,4.606765
300215,2015/12/31,3.238251
300472,2015/12/31,2.74232
300296,2015/12/31,2.51902
300255,2015/12/31,3.002359
300184,2015/12/31,4.942622
300019,2015/12/31,4.091831
300045,2015/12/31,7.531436
300256,2015/12/31,1.322851
300101,2015/12/31,10.066129
300037,2015/12/31,3.242096
300466,2015/12/31,2.913493
300017,2015/12/31,9.109029
300213,2015/12/31,3.615105
300249,2015/12/31,2.426519
300491,2015/12/31,1.38554
300368,2015/12/31,3.711907
300056,2015/12/31,3.744757
300034,2015/12/31,5.526343
300410,2015/12/31,3.753412
300026,2015/12/31,2.604476
300262,2015/12/31,3.141834
300114,2015/12/31,6.036566
300027,2015/12/31,2.781726
300210,2015/12/31,1.920742
300209,2015/12/31,5.453965
300067,2015/12/31,3.137419
300455,2015/12/31,3.035439
300293,2015/12/31,2.467875
300320,2015/12/31,3.70935
300117,2015/12/31,1.672318
300392,2015/12/31,5.129316
300066,2015/12/31,5.342914
300237,2015/12/31,1.868526
300339,2015/12/31,2.594218
300207,2015/12/31,2.845366
300150,2015/12/31,3.447653
300139,2015/12/31,2.95677
300476,2015/12/31,1.864809
300052,2015/12/31,6.19983
300482,2015/12/31,4.117427
300208,2015/12/31,7.403661
300286,2015/12/31,4.71874
300160,2015/12/31,5.139108
300253,2015/12/31,9.893151
300127,2015/12/31,3.91191
300190,2015/12/31,3.303534
300008,2015/12/31,3.425068
300147,2015/12/31,3.788636
300289,2015/12/31,4.174668
300200,2015/12/31,4.354223
300373,2015/12/31,2.854028
300436,2015/12/31,4.716
300475,2015/12/31,2.046184
300451,2015/12/31,4.188687
300218,2015/12/31,2.191362
300378,2015/12/31,2.733383
300495,2015/12/31,1.71015
300354,2015/12/31,8.406492
300291,2015/12/31,4.016683
300103,2015/12/31,2.8887
300416,2015/12/31,2.918213
300138,2015/12/31,1.923906
300284,2015/12/31,1.995392
300480,2015/12/31,3.674156
300044,2015/12/31,3.803231
300223,2015/12/31,3.621209
300328,2015/12/31,8.743755
300307,2015/12/31,3.175613
300230,2015/12/31,3.00952
300089,2015/12/31,3.488092
300015,2015/12/31,7.969453
300039,2015/12/31,3.870958
300390,2015/12/31,2.86647
300290,2015/12/31,4.222738
300093,2015/12/31,4.66381
300229,2015/12/31,7.470803
300177,2015/12/31,3.243336
300134,2015/12/31,4.599474
300071,2015/12/31,3.072565
300115,2015/12/31,3.811303
300481,2015/12/31,3.184197
300338,2015/12/31,3.760957
300007,2015/12/31,2.88202
300386,2015/12/31,2.851684
300469,2015/12/31,3.853742
300099,2015/12/31,4.558051
300412,2015/12/31,3.308273
300382,2015/12/31,2.5851
300231,2015/12/31,11.078634
300239,2015/12/31,4.766651
300078,2015/12/31,6.164366
300057,2015/12/31,1.672113
300317,2015/12/31,1.266205
300299,2015/12/31,4.995363
300221,2015/12/31,4.579721
300047,2015/12/31,3.477363
300327,2015/12/31,9.32057
300419,2015/12/31,2.13917
300214,2015/12/31,2.46525
300217,2015/12/31,2.48647
300277,2015/12/31,6.312414
300133,2015/12/31,3.089568
300018,2015/12/31,3.913536
300425,2015/12/31,2.066437
300406,2015/12/31,4.431652
300065,2015/12/31,4.337116
300090,2015/12/31,1.358691
300003,2015/12/31,3.842577
300145,2015/12/31,2.222639
300442,2015/12/31,2.103904
300479,2015/12/31,5.135203
300050,2015/12/31,2.626322
300371,2015/12/31,3.002694
300074,2015/12/31,5.450052
300076,2015/12/31,5.542668
300051,2015/12/31,4.666107
300107,2015/12/31,3.30295
300112,2015/12/31,3.396234
300174,2015/12/31,3.22543
300257,2015/12/31,6.191192
