Stkcd,Reptdt,Asset
300382,2015/12/31,834393261.4
300442,2015/12/31,1259362453
300062,2015/12/31,2550006358
300386,2015/12/31,1754070632
300306,2015/12/31,1154794223
300076,2015/12/31,1120210112
300107,2015/12/31,944945588.3
300112,2015/12/31,920234669.2
300069,2015/12/31,691755877.4
300174,2015/12/31,887859496.1
300257,2015/12/31,4225255979
300049,2015/12/31,2040946203
300420,2015/12/31,1415826188
300187,2015/12/31,2310705024
300041,2015/12/31,1770968687
300424,2015/12/31,1004332647
300415,2015/12/31,1436823187
300242,2015/12/31,2570368468
300357,2015/12/31,611487548.2
300181,2015/12/31,1850546583
300212,2015/12/31,4654969010
300294,2015/12/31,2188215552
300195,2015/12/31,3674807010
300490,2015/12/31,988380464.6
300097,2015/12/31,1994660165
300011,2015/12/31,3109114194
300389,2015/12/31,1317136040
300396,2015/12/31,1766940898
300046,2015/12/31,832431276.4
300325,2015/12/31,2147738463
300303,2015/12/31,2226729194
300156,2015/12/31,3139878543
300426,2015/12/31,1478879925
300473,2015/12/31,1880689335
300136,2015/12/31,1947038370
300418,2015/12/31,3888484314
300124,2015/12/31,5946514568
300240,2015/12/31,1685553921
300341,2015/12/31,1044838537
300211,2015/12/31,594987685.3
300394,2015/12/31,707424429.7
300031,2015/12/31,1041397027
300434,2015/12/31,432428555.3
300251,2015/12/31,8189211693
300085,2015/12/31,1178502006
300334,2015/12/31,2118284911
300438,2015/12/31,1376612232
300012,2015/12/31,1888440261
300330,2015/12/31,551538997.8
300100,2015/12/31,4066095376
300084,2015/12/31,1688187377
300358,2015/12/31,2386372305
300126,2015/12/31,1266107612
300205,2015/12/31,1683408424
300058,2015/12/31,16369211954
300356,2015/12/31,2177973657
300470,2015/12/31,913260437.6
300021,2015/12/31,1695105027
300435,2015/12/31,927573456.5
300202,2015/12/31,1822699013
300295,2015/12/31,1085480068
300088,2015/12/31,4839936358
300427,2015/12/31,759728039.9
300070,2015/12/31,18388772125
300493,2015/12/31,648437556.6
300096,2015/12/31,926228222
300224,2015/12/31,2938172616
300500,2015/12/31,445227346.3
300282,2015/12/31,2172860675
300348,2015/12/31,1006272079
300340,2015/12/31,949982314.2
300110,2015/12/31,2748766936
300196,2015/12/31,2267494923
300347,2015/12/31,1610031208
300380,2015/12/31,536169100.1
300344,2015/12/31,869985638.6
300098,2015/12/31,4295404979
300241,2015/12/31,1184466507
300498,2015/12/31,32734965600
300477,2015/12/31,1564310631
300391,2015/12/31,694641062
300285,2015/12/31,1186747164
300395,2015/12/31,867293413.3
300159,2015/12/31,7526617773
300384,2015/12/31,1187441356
300254,2015/12/31,1308430619
300352,2015/12/31,971347262.2
300032,2015/12/31,3907317545
