Stkcd,Reptdt,Num_of_meet
300143,2015/12/31,11
300428,2015/12/31,6
300025,2015/12/31,13
300225,2015/12/31,6
300458,2015/12/31,9
300422,2015/12/31,17
300393,2015/12/31,12
300149,2015/12/31,9
300398,2015/12/31,8
300104,2015/12/31,29
300120,2015/12/31,7
300365,2015/12/31,13
300215,2015/12/31,8
300296,2015/12/31,14
300488,2015/12/31,4
300472,2015/12/31,5
300019,2015/12/31,8
300045,2015/12/31,13
300184,2015/12/31,12
300255,2015/12/31,8
300017,2015/12/31,16
300036,2015/12/31,9
300037,2015/12/31,5
300101,2015/12/31,10
300213,2015/12/31,7
300222,2015/12/31,12
300249,2015/12/31,10
300256,2015/12/31,11
300491,2015/12/31,4
300466,2015/12/31,9
300034,2015/12/31,9
300056,2015/12/31,12
300368,2015/12/31,9
300026,2015/12/31,8
300410,2015/12/31,13
300247,2015/12/31,8
300114,2015/12/31,6
300081,2015/12/31,9
300027,2015/12/31,17
300262,2015/12/31,10
300052,2015/12/31,9
300066,2015/12/31,13
300067,2015/12/31,10
300092,2015/12/31,6
300117,2015/12/31,17
300139,2015/12/31,8
300150,2015/12/31,13
300207,2015/12/31,9
300209,2015/12/31,15
300210,2015/12/31,14
300237,2015/12/31,13
300293,2015/12/31,6
300320,2015/12/31,6
300339,2015/12/31,15
300392,2015/12/31,6
300455,2015/12/31,6
300476,2015/12/31,13
300200,2015/12/31,5
300218,2015/12/31,4
300289,2015/12/31,15
300378,2015/12/31,6
300373,2015/12/31,17
300436,2015/12/31,8
300495,2015/12/31,6
300475,2015/12/31,5
300451,2015/12/31,7
300008,2015/12/31,8
300127,2015/12/31,5
300147,2015/12/31,6
300160,2015/12/31,10
300190,2015/12/31,13
300208,2015/12/31,12
300253,2015/12/31,11
300286,2015/12/31,8
300482,2015/12/31,8
300354,2015/12/31,7
300015,2015/12/31,18
300223,2015/12/31,7
300307,2015/12/31,11
300230,2015/12/31,9
300480,2015/12/31,8
300416,2015/12/31,5
300044,2015/12/31,13
300291,2015/12/31,11
300103,2015/12/31,4
300089,2015/12/31,10
300328,2015/12/31,10
300138,2015/12/31,9
300284,2015/12/31,10
300134,2015/12/31,11
300007,2015/12/31,10
300039,2015/12/31,9
300071,2015/12/31,15
300093,2015/12/31,13
300099,2015/12/31,9
300115,2015/12/31,16
300177,2015/12/31,18
300229,2015/12/31,9
300231,2015/12/31,9
300290,2015/12/31,9
300338,2015/12/31,5
300382,2015/12/31,11
300386,2015/12/31,6
300390,2015/12/31,10
300412,2015/12/31,10
300481,2015/12/31,7
300469,2015/12/31,6
300018,2015/12/31,8
300047,2015/12/31,8
300057,2015/12/31,10
300419,2015/12/31,15
300145,2015/12/31,9
300062,2015/12/31,10
300317,2015/12/31,22
300214,2015/12/31,7
300090,2015/12/31,14
300277,2015/12/31,14
300406,2015/12/31,8
300425,2015/12/31,13
300217,2015/12/31,5
300327,2015/12/31,10
300133,2015/12/31,13
300221,2015/12/31,9
300003,2015/12/31,13
300239,2015/12/31,9
300065,2015/12/31,12
300078,2015/12/31,15
300299,2015/12/31,16
300442,2015/12/31,10
300479,2015/12/31,7
300050,2015/12/31,10
300371,2015/12/31,10
300074,2015/12/31,12
300051,2015/12/31,11
300076,2015/12/31,9
300306,2015/12/31,10
300069,2015/12/31,5
300107,2015/12/31,7
300112,2015/12/31,11
300049,2015/12/31,7
300174,2015/12/31,13
300235,2015/12/31,10
300257,2015/12/31,10
300267,2015/12/31,13
300041,2015/12/31,12
300187,2015/12/31,11
300420,2015/12/31,10
300424,2015/12/31,11
300415,2015/12/31,6
300195,2015/12/31,12
300357,2015/12/31,5
300181,2015/12/31,11
300242,2015/12/31,17
300212,2015/12/31,14
300294,2015/12/31,9
300490,2015/12/31,3
300046,2015/12/31,6
300097,2015/12/31,9
300389,2015/12/31,11
300473,2015/12/31,7
300011,2015/12/31,9
300325,2015/12/31,11
300396,2015/12/31,12
300303,2015/12/31,11
300136,2015/12/31,5
300156,2015/12/31,13
300426,2015/12/31,12
300418,2015/12/31,17
300031,2015/12/31,10
300085,2015/12/31,9
300124,2015/12/31,9
300211,2015/12/31,4
300240,2015/12/31,5
300251,2015/12/31,8
300334,2015/12/31,9
300341,2015/12/31,12
300359,2015/12/31,15
300394,2015/12/31,6
300400,2015/12/31,5
300434,2015/12/31,6
300012,2015/12/31,7
300084,2015/12/31,9
300100,2015/12/31,10
300126,2015/12/31,7
300205,2015/12/31,8
300330,2015/12/31,7
300358,2015/12/31,10
300438,2015/12/31,6
300021,2015/12/31,10
300058,2015/12/31,32
300356,2015/12/31,9
300470,2015/12/31,4
300435,2015/12/31,7
300070,2015/12/31,24
300088,2015/12/31,8
300096,2015/12/31,15
300202,2015/12/31,9
300224,2015/12/31,8
300282,2015/12/31,11
300295,2015/12/31,12
300340,2015/12/31,8
300348,2015/12/31,14
300387,2015/12/31,12
300500,2015/12/31,4
300427,2015/12/31,12
300448,2015/12/31,11
300493,2015/12/31,7
300098,2015/12/31,14
300110,2015/12/31,9
300196,2015/12/31,5
300241,2015/12/31,9
300344,2015/12/31,7
300347,2015/12/31,14
300380,2015/12/31,7
300391,2015/12/31,6
300498,2015/12/31,10
300477,2015/12/31,14
300010,2015/12/31,23
300020,2015/12/31,15
300032,2015/12/31,12
300086,2015/12/31,11
300159,2015/12/31,9
300197,2015/12/31,16
300219,2015/12/31,9
300254,2015/12/31,15
300269,2015/12/31,14
300285,2015/12/31,15
300311,2015/12/31,11
300319,2015/12/31,13
300352,2015/12/31,12
300384,2015/12/31,8
300395,2015/12/31,10
300484,2015/12/31,6
300431,2015/12/31,15
300449,2015/12/31,8
300075,2015/12/31,13
300079,2015/12/31,10
300130,2015/12/31,15
300171,2015/12/31,8
300236,2015/12/31,6
300246,2015/12/31,10
300250,2015/12/31,16
300258,2015/12/31,3
300261,2015/12/31,7
300263,2015/12/31,10
300281,2015/12/31,8
300312,2015/12/31,10
300313,2015/12/31,16
300346,2015/12/31,4
300423,2015/12/31,6
300040,2015/12/31,10
300315,2015/12/31,19
300494,2015/12/31,5
300501,2015/12/31,8
300042,2015/12/31,8
300061,2015/12/31,12
300108,2015/12/31,8
300113,2015/12/31,9
300129,2015/12/31,14
300153,2015/12/31,7
300164,2015/12/31,14
300165,2015/12/31,8
300185,2015/12/31,11
300198,2015/12/31,10
300234,2015/12/31,9
300276,2015/12/31,5
300304,2015/12/31,8
300332,2015/12/31,12
300333,2015/12/31,6
300381,2015/12/31,13
300397,2015/12/31,10
300411,2015/12/31,9
300417,2015/12/31,5
300460,2015/12/31,6
300452,2015/12/31,10
300489,2015/12/31,7
300083,2015/12/31,10
300141,2015/12/31,7
300167,2015/12/31,9
300170,2015/12/31,16
300188,2015/12/31,15
300192,2015/12/31,6
300353,2015/12/31,13
300355,2015/12/31,6
300370,2015/12/31,19
300377,2015/12/31,7
300388,2015/12/31,18
300402,2015/12/31,6
300440,2015/12/31,9
300444,2015/12/31,13
300462,2015/12/31,7
300465,2015/12/31,10
300496,2015/12/31,7
300487,2015/12/31,7
300486,2015/12/31,9
300006,2015/12/31,19
300035,2015/12/31,5
300038,2015/12/31,11
