Stkcd,Reptdt,Roa
300110,2014/12/31,0.022502
300135,2014/12/31,0.027132
300173,2014/12/31,0.005415
300129,2014/12/31,0.037489
300258,2014/12/31,0.085779
300368,2014/12/31,0.086881
300177,2014/12/31,0.086284
300315,2014/12/31,0.100842
300084,2014/12/31,0.033872
300088,2014/12/31,0.057044
300202,2014/12/31,0.24588
300235,2014/12/31,0.062997
300408,2014/12/31,0.195401
300285,2014/12/31,0.087851
300336,2014/12/31,0.094276
300197,2014/12/31,0.056197
300302,2014/12/31,0.045485
300435,2014/12/31,0.133749
300022,2014/12/31,-0.156196
300069,2014/12/31,0.022623
300122,2014/12/31,0.055826
300260,2014/12/31,0.00545
300409,2014/12/31,0.115369
300417,2014/12/31,0.14702
300318,2014/12/31,0.0471
300383,2014/12/31,0.144819
300045,2014/12/31,0.043001
300100,2014/12/31,0.049118
300161,2014/12/31,0.012012
300083,2014/12/31,0.02261
300086,2014/12/31,0.030587
300280,2014/12/31,0.003548
300093,2014/12/31,0.012691
300096,2014/12/31,0.05181
300276,2014/12/31,0.037433
300075,2014/12/31,0.095085
300097,2014/12/31,0.04063
300257,2014/12/31,0.081077
300079,2014/12/31,0.061032
300333,2014/12/31,0.057681
300346,2014/12/31,0.041231
300311,2014/12/31,0.063733
300175,2014/12/31,0.068878
300147,2014/12/31,0.061318
300356,2014/12/31,0.02011
300167,2014/12/31,-0.005132
300330,2014/12/31,0.021153
300052,2014/12/31,0.004388
300018,2014/12/31,0.059987
300410,2014/12/31,0.070409
300381,2014/12/31,0.082319
300014,2014/12/31,0.054841
300169,2014/12/31,0.01119
300373,2014/12/31,0.156674
300364,2014/12/31,0.122304
300418,2014/12/31,0.240171
300128,2014/12/31,0.027808
300348,2014/12/31,0.069144
300297,2014/12/31,0.030727
300099,2014/12/31,0.009983
300041,2014/12/31,0.089289
300061,2014/12/31,0.056919
300229,2014/12/31,0.075899
300152,2014/12/31,0.020348
300076,2014/12/31,0.016877
300162,2014/12/31,0.0359
300176,2014/12/31,0.009622
300411,2014/12/31,0.059289
300143,2014/12/31,-0.325666
300236,2014/12/31,0.06771
300013,2014/12/31,0.014163
300385,2014/12/31,0.057368
300192,2014/12/31,0.050496
300220,2014/12/31,0.013827
300387,2014/12/31,0.094458
300402,2014/12/31,0.03387
300004,2014/12/31,0.043398
300355,2014/12/31,0.068607
300352,2014/12/31,0.090825
300053,2014/12/31,0.035241
300191,2014/12/31,0.019652
300183,2014/12/31,0.126706
300117,2014/12/31,0.014801
300326,2014/12/31,0.069596
300268,2014/12/31,0.01142
300020,2014/12/31,0.055632
300277,2014/12/31,-0.074095
300263,2014/12/31,0.062511
300337,2014/12/31,0.022809
300217,2014/12/31,0.06509
300070,2014/12/31,0.108244
300219,2014/12/31,0.071538
300230,2014/12/31,0.087053
300344,2014/12/31,-0.021837
300035,2014/12/31,0.047824
300137,2014/12/31,0.062448
300308,2014/12/31,0.0117
300270,2014/12/31,0.071338
300369,2014/12/31,0.146068
300377,2014/12/31,0.133362
300063,2014/12/31,0.003288
300157,2014/12/31,0.042192
300171,2014/12/31,0.088429
300266,2014/12/31,0.068644
300366,2014/12/31,0.099955
300372,2014/12/31,0.051539
300374,2014/12/31,0.074412
300002,2014/12/31,0.124188
300155,2014/12/31,0.061627
300182,2014/12/31,0.124207
300187,2014/12/31,0.037109
300228,2014/12/31,0.068343
300307,2014/12/31,-0.076222
300320,2014/12/31,0.092784
300362,2014/12/31,0.022836
300049,2014/12/31,0.068586
300151,2014/12/31,0.053436
300386,2014/12/31,0.232654
300273,2014/12/31,0.113855
300123,2014/12/31,0.015022
300397,2014/12/31,0.067066
300429,2014/12/31,0.211552
300102,2014/12/31,0.027144
300282,2014/12/31,0.018249
300186,2014/12/31,0.048217
300094,2014/12/31,0.085002
300401,2015/12/31,0.01565
300301,2015/12/31,0.055259
300351,2015/12/31,0.092347
300298,2015/12/31,0.112431
300125,2015/12/31,0.00451
300131,2015/12/31,0.021452
300227,2015/12/31,0.040862
300450,2015/12/31,0.118714
300376,2015/12/31,0.080087
300437,2015/12/31,0.099382
300349,2015/12/31,0.073914
300054,2015/12/31,0.111626
300118,2015/12/31,0.04761
300161,2015/12/31,-0.031571
300271,2015/12/31,0.093423
300324,2015/12/31,0.07128
300132,2015/12/31,0.01114
300363,2015/12/31,0.049894
300443,2015/12/31,0.175832
300140,2015/12/31,0.012139
300278,2015/12/31,0.038549
300453,2015/12/31,0.106561
300121,2015/12/31,0.03197
300175,2015/12/31,0.024582
300233,2015/12/31,0.089489
300095,2015/12/31,0.049222
300243,2015/12/31,0.044986
300336,2015/12/31,0.096868
300162,2015/12/31,0.016797
300193,2015/12/31,0.03396
300228,2015/12/31,0.003396
