Stkcd,Reptdt,RDSpendSum
300112,2014/12/31,30654776.42
300113,2014/12/31,103996147.9
300114,2014/12/31,58385086.94
300115,2014/12/31,169465464.4
300116,2014/12/31,6422722.42
300117,2014/12/31,55554970.08
300118,2014/12/31,90551166.33
300119,2014/12/31,56473888.29
300120,2014/12/31,11475555.88
300121,2014/12/31,37416309.19
300122,2014/12/31,60611394.42
300123,2014/12/31,32753118.83
300124,2014/12/31,217473878.3
300125,2014/12/31,7481440.1
300126,2014/12/31,31800282.25
300127,2014/12/31,18994827.16
300128,2014/12/31,32470278.03
300129,2014/12/31,41941257.19
300130,2014/12/31,104188634.5
300131,2014/12/31,17854168.16
300132,2014/12/31,19650878.37
300133,2014/12/31,13146238.57
300134,2014/12/31,115998914.2
300135,2014/12/31,63069652.74
300136,2014/12/31,53788899.22
300137,2014/12/31,19786737.95
300138,2014/12/31,50666324.62
300139,2014/12/31,26790360.1
300140,2014/12/31,14734608.47
300141,2014/12/31,9937444.5
300142,2014/12/31,226344376.8
300143,2014/12/31,6447239.83
300144,2014/12/31,4568230.55
300145,2014/12/31,64352072.46
300146,2014/12/31,59965184.3
300147,2014/12/31,68069750.76
300148,2014/12/31,22943498.07
300149,2014/12/31,16038756.06
300150,2014/12/31,21017914.59
300151,2014/12/31,26633283.11
300152,2014/12/31,39690896.73
300153,2014/12/31,18542384.65
300154,2014/12/31,27126710.88
300155,2014/12/31,58638763.25
300156,2014/12/31,1773168.06
300157,2014/12/31,59287391.02
300158,2014/12/31,55510106.6
300159,2014/12/31,19050427.46
300160,2014/12/31,25891282.27
300161,2014/12/31,97538354.91
300162,2014/12/31,27077950.84
300163,2014/12/31,12035491.87
300164,2014/12/31,14769109.81
300165,2014/12/31,36478741.24
300166,2014/12/31,92564654.2
300167,2014/12/31,23706599.12
300168,2014/12/31,100075068.1
300169,2014/12/31,22661488.37
300170,2014/12/31,95878254.97
300171,2014/12/31,82759394.2
300172,2014/12/31,24935131
300173,2014/12/31,11165025.91
300174,2014/12/31,14139954.96
300175,2014/12/31,143994.45
300176,2014/12/31,48448470.75
300177,2014/12/31,83740346.17
300178,2014/12/31,28140794.19
300179,2014/12/31,16479049.41
300180,2014/12/31,41000233.1
300181,2014/12/31,17589556.78
300182,2014/12/31,108175644.8
300183,2014/12/31,76277470.26
300184,2014/12/31,5094108.16
300185,2014/12/31,57331377.89
300186,2014/12/31,54849765.61
300187,2014/12/31,32588422.76
300188,2014/12/31,87837042.55
300189,2014/12/31,125103600
300190,2014/12/31,27584509.65
300191,2014/12/31,15268297.34
300192,2014/12/31,20095382.52
300193,2014/12/31,37432433.8
300194,2014/12/31,35188461.87
300195,2014/12/31,47839171.08
300196,2014/12/31,34751616.63
300197,2014/12/31,76890360.12
300198,2014/12/31,14534756.23
300199,2014/12/31,46026625.43
300200,2014/12/31,32430400
300201,2014/12/31,37232753.99
300202,2014/12/31,71591792.22
300203,2014/12/31,114725970.8
300204,2014/12/31,44686095.24
300205,2014/12/31,128675083.7
300206,2014/12/31,144179899.2
300207,2014/12/31,153521994
300208,2014/12/31,11469376.53
300209,2014/12/31,35275897.23
300210,2014/12/31,24874036.62
300211,2014/12/31,13308409.02
300212,2014/12/31,110567101.9
300213,2014/12/31,38059099.11
300214,2014/12/31,51103232.25
300215,2014/12/31,37169346.61
300216,2014/12/31,24540003.07
