Stkcd,Reptdt,Dual
300162,2015/12/31,1
300193,2015/12/31,2
300228,2015/12/31,2
300259,2015/12/31,2
300331,2015/12/31,2
300191,2015/12/31,1
300014,2015/12/31,1
300144,2015/12/31,2
300146,2015/12/31,2
300122,2015/12/31,1
300204,2015/12/31,2
300203,2015/12/31,2
300077,2015/12/31,2
300432,2015/12/31,2
300009,2015/12/31,1
300485,2015/12/31,1
300441,2015/12/31,2
300283,2015/12/31,1
300163,2015/12/31,1
300148,2015/12/31,2
300335,2015/12/31,2
300414,2015/12/31,2
300314,2015/12/31,1
300105,2015/12/31,2
300238,2015/12/31,2
300024,2015/12/31,2
300316,2015/12/31,2
300430,2015/12/31,2
300111,2015/12/31,1
300245,2015/12/31,1
300457,2015/12/31,1
300116,2015/12/31,2
300360,2015/12/31,1
300322,2015/12/31,2
300408,2015/12/31,2
300421,2015/12/31,1
300073,2015/12/31,2
300244,2015/12/31,1
300383,2015/12/31,2
300068,2015/12/31,2
300087,2015/12/31,1
300375,2015/12/31,2
300172,2015/12/31,2
300072,2015/12/31,2
300403,2015/12/31,1
300216,2015/12/31,1
300176,2015/12/31,1
300080,2015/12/31,2
300428,2015/12/31,2
300143,2015/12/31,2
300458,2015/12/31,2
300025,2015/12/31,2
300422,2015/12/31,2
300225,2015/12/31,2
300393,2015/12/31,1
300149,2015/12/31,2
300398,2015/12/31,1
300365,2015/12/31,2
300120,2015/12/31,1
300488,2015/12/31,2
300104,2015/12/31,1
300472,2015/12/31,1
300215,2015/12/31,1
300296,2015/12/31,1
300255,2015/12/31,2
300019,2015/12/31,2
300184,2015/12/31,1
300045,2015/12/31,2
300222,2015/12/31,1
300256,2015/12/31,2
300037,2015/12/31,2
300101,2015/12/31,2
300036,2015/12/31,2
300466,2015/12/31,1
300249,2015/12/31,2
300017,2015/12/31,1
300213,2015/12/31,2
300491,2015/12/31,2
300034,2015/12/31,2
300056,2015/12/31,1
300368,2015/12/31,2
300026,2015/12/31,2
300410,2015/12/31,1
300247,2015/12/31,1
300262,2015/12/31,2
300114,2015/12/31,2
300081,2015/12/31,1
300027,2015/12/31,2
300210,2015/12/31,2
300392,2015/12/31,1
300209,2015/12/31,2
300067,2015/12/31,1
300455,2015/12/31,2
300092,2015/12/31,2
300293,2015/12/31,1
300320,2015/12/31,1
300117,2015/12/31,2
300066,2015/12/31,2
300150,2015/12/31,2
300139,2015/12/31,2
300207,2015/12/31,1
300237,2015/12/31,2
300476,2015/12/31,1
300052,2015/12/31,1
300339,2015/12/31,1
300482,2015/12/31,2
300286,2015/12/31,1
300160,2015/12/31,1
300190,2015/12/31,1
300127,2015/12/31,2
300008,2015/12/31,1
300253,2015/12/31,2
300147,2015/12/31,1
300208,2015/12/31,2
300373,2015/12/31,1
300495,2015/12/31,1
300200,2015/12/31,2
300218,2015/12/31,1
300289,2015/12/31,1
300475,2015/12/31,2
300436,2015/12/31,2
300378,2015/12/31,2
300451,2015/12/31,2
300354,2015/12/31,2
300291,2015/12/31,2
300103,2015/12/31,2
300284,2015/12/31,2
300416,2015/12/31,1
300089,2015/12/31,1
300328,2015/12/31,2
300138,2015/12/31,1
300044,2015/12/31,1
300230,2015/12/31,1
300480,2015/12/31,2
300015,2015/12/31,2
300223,2015/12/31,1
300307,2015/12/31,1
300390,2015/12/31,1
300231,2015/12/31,1
300039,2015/12/31,2
300382,2015/12/31,1
300412,2015/12/31,2
300338,2015/12/31,2
300007,2015/12/31,2
300099,2015/12/31,2
300229,2015/12/31,2
300134,2015/12/31,2
300386,2015/12/31,2
300177,2015/12/31,2
300115,2015/12/31,2
300469,2015/12/31,1
300290,2015/12/31,1
300481,2015/12/31,1
300093,2015/12/31,1
300071,2015/12/31,1
300057,2015/12/31,1
300047,2015/12/31,1
300479,2015/12/31,2
300145,2015/12/31,2
300062,2015/12/31,2
300317,2015/12/31,2
300277,2015/12/31,2
300214,2015/12/31,2
300090,2015/12/31,2
300217,2015/12/31,2
300406,2015/12/31,2
300425,2015/12/31,2
300133,2015/12/31,2
300239,2015/12/31,2
300327,2015/12/31,2
300065,2015/12/31,1
300221,2015/12/31,2
300003,2015/12/31,1
300078,2015/12/31,2
300299,2015/12/31,1
300018,2015/12/31,2
300442,2015/12/31,1
300419,2015/12/31,1
300050,2015/12/31,2
300371,2015/12/31,2
300074,2015/12/31,2
