Stkcd,Reptdt,num_of_dir
300100,2015/12/31,9
300330,2015/12/31,9
300012,2015/12/31,9
300358,2015/12/31,9
300084,2015/12/31,8
300126,2015/12/31,9
300205,2015/12/31,7
300021,2015/12/31,9
300435,2015/12/31,9
300470,2015/12/31,7
300356,2015/12/31,9
300058,2015/12/31,9
300427,2015/12/31,7
300387,2015/12/31,9
300295,2015/12/31,5
300070,2015/12/31,9
300088,2015/12/31,11
300202,2015/12/31,9
300448,2015/12/31,5
300493,2015/12/31,7
300096,2015/12/31,6
300282,2015/12/31,7
300340,2015/12/31,8
300500,2015/12/31,11
300224,2015/12/31,9
300348,2015/12/31,9
300110,2015/12/31,9
300196,2015/12/31,9
300380,2015/12/31,9
300347,2015/12/31,8
300344,2015/12/31,7
300098,2015/12/31,7
300241,2015/12/31,9
300498,2015/12/31,12
300391,2015/12/31,9
300477,2015/12/31,9
300285,2015/12/31,9
300159,2015/12/31,6
300395,2015/12/31,9
300219,2015/12/31,7
300384,2015/12/31,7
300032,2015/12/31,9
300020,2015/12/31,9
300254,2015/12/31,8
300484,2015/12/31,9
300319,2015/12/31,9
300352,2015/12/31,7
300197,2015/12/31,7
300010,2015/12/31,12
300431,2015/12/31,7
300086,2015/12/31,7
300269,2015/12/31,9
300311,2015/12/31,5
300449,2015/12/31,11
300130,2015/12/31,8
300263,2015/12/31,9
300171,2015/12/31,9
300346,2015/12/31,9
300246,2015/12/31,8
300312,2015/12/31,7
300250,2015/12/31,7
300261,2015/12/31,9
300258,2015/12/31,8
300075,2015/12/31,9
300079,2015/12/31,7
300236,2015/12/31,9
300423,2015/12/31,6
300313,2015/12/31,9
300281,2015/12/31,7
300040,2015/12/31,9
300501,2015/12/31,7
300494,2015/12/31,9
300315,2015/12/31,9
300417,2015/12/31,5
300061,2015/12/31,9
300397,2015/12/31,7
300164,2015/12/31,6
300165,2015/12/31,9
300276,2015/12/31,9
300333,2015/12/31,7
300304,2015/12/31,9
300489,2015/12/31,9
300234,2015/12/31,7
300460,2015/12/31,7
300452,2015/12/31,9
300129,2015/12/31,11
300042,2015/12/31,9
300332,2015/12/31,7
300113,2015/12/31,7
300411,2015/12/31,7
300108,2015/12/31,7
300198,2015/12/31,9
300381,2015/12/31,7
300185,2015/12/31,9
300153,2015/12/31,9
300035,2015/12/31,9
300106,2015/12/31,9
300468,2015/12/31,7
300374,2015/12/31,7
300506,2015/12/31,6
300265,2015/12/31,7
300467,2015/12/31,7
300248,2015/12/31,8
300268,2015/12/31,7
300310,2015/12/31,10
300366,2015/12/31,9
300308,2015/12/31,7
300173,2015/12/31,9
300119,2015/12/31,9
300151,2015/12/31,6
300413,2015/12/31,9
300350,2015/12/31,9
300006,2015/12/31,6
300369,2015/12/31,7
300492,2015/12/31,9
300053,2015/12/31,9
300232,2015/12/31,7
