Stkcd,Reptdt,Shrcr
300349,2013/12/31,0.3594
300349,2014/12/31,0.3594
300348,2013/12/31,0.2644
300348,2014/12/31,0.2427
300350,2013/12/31,0.4211
300350,2014/12/31,0.4211
300352,2013/12/31,0.4891
300352,2014/12/31,0.4891
300351,2013/12/31,0.1791
300351,2014/12/31,0.1791
300351,2015/12/31,0.1791
300354,2013/12/31,0.5796
300354,2014/12/31,0.5796
300355,2013/12/31,0.2913
300355,2014/12/31,0.2718
300356,2013/12/31,0.3277
300356,2014/12/31,0.3277
300429,2014/12/31,0.4134
300412,2014/12/31,0.3933
300393,2014/12/31,0.3223
300420,2014/12/31,0.211
300359,2013/12/31,0.3444
300359,2014/12/31,0.3189
300409,2014/12/31,0.3981
300417,2014/12/31,0.2042
300380,2013/12/31,0.5007
300380,2014/12/31,0.3141
300415,2014/12/31,0.45
300364,2014/12/31,0.2492
300435,2014/12/31,0.7281
300416,2014/12/31,0.6369
300418,2014/12/31,0.48
300421,2014/12/31,0.429
300411,2014/12/31,0.2152
300425,2014/12/31,0.6425
300387,2014/12/31,0.3286
300405,2014/12/31,0.4995
300399,2014/12/31,0.4009
300379,2013/12/31,0.2495
300379,2014/12/31,0.1721
300365,2013/12/31,0.2019
300365,2014/12/31,0.1755
300419,2014/12/31,0.35
300376,2013/12/31,0.8889
300376,2014/12/31,0.6528
300385,2014/12/31,0.3924
300357,2013/12/31,0.7056
300357,2014/12/31,0.5181
300377,2013/12/31,0.3465
300377,2014/12/31,0.2817
300391,2014/12/31,0.63
300360,2013/12/31,0.36
300360,2014/12/31,0.258
300373,2013/12/31,0.6739
300373,2014/12/31,0.4769
300358,2013/12/31,0.8109
300358,2014/12/31,0.5931
300363,2013/12/31,0.2261
300363,2014/12/31,0.1777
300396,2014/12/31,0.538
300368,2013/12/31,0.5196
300368,2014/12/31,0.3897
300403,2014/12/31,0.4629
300362,2013/12/31,0.3402
300362,2014/12/31,0.3403
300400,2014/12/31,0.3405
300383,2013/12/31,0.559
300383,2014/12/31,0.469
300397,2014/12/31,0.399
300371,2013/12/31,0.4977
300371,2014/12/31,0.3733
300389,2014/12/31,0.2565
300382,2013/12/31,0.8985
300382,2014/12/31,0.6936
300390,2014/12/31,0.3984
300386,2014/12/31,0.3311
